jobid,submit,start,end,nnodes,duration,max_memory,randomness
213,170565559,170565585,170566341,1,756,61,0.5696856094894325
214,170565559,170565585,170566341,1,756,74,0.14691277278866843
215,170565559,170565585,170566343,1,758,57,0.5851779936859117
216,170565559,170565585,170566445,1,860,60,0.36484285485013357
217,170565559,170565585,170566445,1,860,62,0.315272266482751
218,170565559,170565585,170566413,1,828,64,0.7641975530930404
219,170565559,170565585,170566767,1,1182,85,0.4810826630534325
220,170565559,170565585,170566499,1,914,80,0.09405167057320518
221,170565559,170565585,170566564,1,979,71,0.8237895839732836
222,170565559,170565585,170566437,1,852,58,0.2526648751767434
223,170565559,170565585,170566533,1,948,58,0.5651792291733193
224,170565559,170565585,170566566,1,981,70,0.053394679506756026
225,170565559,170565585,170566977,1,1392,70,0.25155068596878316
226,170565559,170565585,170566985,1,1400,66,0.2012551900083368
227,170565559,170565585,170566729,1,1144,70,0.3231836898288608
228,170565559,170565585,170566975,1,1390,70,0.32678159874441126
229,170565559,170565585,170567002,1,1417,85,0.43611531756121
230,170565559,170565585,170566530,1,945,70,0.5871674480997262
231,170565559,170565585,170566409,1,824,79,0.2251367579051774
232,170565559,170565585,170566462,1,877,90,0.30990402330172695
233,170565559,170565585,170566266,1,681,70,0.6877042244158185
234,170565559,170565585,170566172,1,587,70,0.13596712654810317
235,170565559,170565585,170566696,1,1111,70,0.9489192734540949
236,170565559,170565585,170566775,1,1190,70,0.35063388318661626
237,170565559,170565585,170566720,1,1135,70,0.05023337075724421
238,170565560,170565585,170566883,1,1298,70,0.29870583254643923
239,170565560,170565585,170566677,1,1092,92,0.3050930779578793
240,170565560,170565585,170566677,1,1092,70,0.7298244964052527
241,170565560,170565585,170566634,1,1049,70,0.5407643780191583
242,170565560,170565585,170566473,1,888,93,0.7971347575138718
243,170565560,170565585,170566345,1,760,71,0.01240610817411425
244,170565560,170565585,170566340,1,755,92,0.38463901033406644
245,170565560,170565585,170566363,1,778,87,0.6679990041967149
246,170565560,170565585,170566622,1,1037,70,0.6692957106673209
247,170565560,170565585,170566598,1,1013,71,0.6648410942325736
248,170565560,170565585,170566580,1,995,56,0.8251321200741136
249,170565560,170565585,170566618,1,1033,70,0.6393690082011086
250,170565560,170565585,170566674,1,1089,86,0.14130907924447078
251,170565560,170565663,170566761,1,1097,69,0.9861536703821523
252,170565560,170565663,170566708,1,1045,70,0.1334415996264826
253,170565560,170565663,170566692,1,1029,70,0.5964026672870124
