jobid,submit,start,end,nnodes,duration,memory
2971045,166044993,166044993,166047155,1,2161,47
2971067,166037670,166037670,166041812,2,4141,36
2971091,166037730,166037730,166041872,2,4142,36
2971110,166037133,166037133,166037508,1,374,448
2971143,166039294,166039294,166043713,1,4417,421
2971185,166037277,166037277,166039439,1,2161,41
2971191,166037294,166037294,166037841,2,547,77
2971214,166037355,166037355,166037925,2,569,91
2971222,166039316,166039316,166043643,1,4325,485
2971241,166045264,166045264,166047426,1,2162,58
2971260,166037457,166037457,166038002,2,544,77
2971263,166039383,166039383,166043003,1,3619,497
2971269,166037470,166037470,166039631,1,2161,43
2971272,166037481,166037481,166038032,2,551,78
2971276,166037494,166037494,166037858,4,363,77
2971279,166037501,166037501,166038038,2,537,78
2971293,166037541,166037541,166037927,2,385,77
2971294,166037544,166037544,166037932,2,387,77
2971304,166037840,166037840,166042163,1,4322,41
2971307,166039384,166039384,166041665,1,2281,491
2971308,166039678,166039678,166044124,1,4444,496
2971310,166040316,166040316,166043182,11,2865,150
2971312,166041251,166041251,166043621,22,2370,138
2971315,166037893,166037893,166042216,1,4323,39
2971316,166039342,166039342,166043201,5,3858,165
2971317,166038108,166038108,166040829,4,2720,285
2971319,166039682,166039682,166044011,1,4327,499
2971323,166040060,166040060,166044388,1,4327,491
2971329,166040081,166040081,166043757,1,3676,481
2971333,166040409,166040409,166044854,1,4445,483
2971346,166037844,166037844,166038399,2,555,77
2971347,166038035,166038035,166042358,1,4322,40
2971350,166037860,166037860,166038412,2,551,77
2971356,166039344,166039344,166043200,5,3856,159
2971357,166038060,166038060,166042382,1,4322,39
2971384,166044878,166044878,166048490,64,3612,498
2971389,166038402,166038402,166038960,2,557,76
2971392,166038412,166038412,166038798,2,385,77
2971394,166038413,166038413,166038797,2,384,77
2971395,166038123,166038123,166040142,1,2019,152
2971397,166041251,166041251,166043726,16,2474,486
2971406,166038416,166038416,166038960,2,544,77
2971407,166039804,166039804,166041244,1,1440,122
2971411,166049210,166049210,166053534,128,4323,348
2971413,166039345,166039345,166042053,4,2707,285
2971415,166038416,166038416,166038958,2,542,77
2971416,166039010,166039010,166043333,1,4323,39
2971417,166038426,166038426,166038999,2,572,77
2971424,166039071,166039071,166043394,1,4323,40
2971434,166039804,166039804,166043246,7,3442,115
2971490,166039511,166039511,166042236,4,2724,283
2971500,166038429,166038429,166039511,40,1081,504
2971502,166041516,166041516,166042958,40,1442,502
2971503,166041516,166041516,166042958,40,1442,503
2971504,166038290,166038290,166039731,4,1440,383
2971688,166038426,166038426,166038973,2,546,77
2971703,166038426,166038426,166038976,2,549,78
2971755,166038670,166038670,166040832,1,2161,118
2971763,166038801,166038801,166039186,2,385,77
2971790,166038959,166038959,166039500,2,540,77
2971792,166038963,166038963,166039507,2,544,76
2971793,166038963,166038963,166039505,2,542,78
2971904,166038976,166038976,166039526,2,549,77
2971905,166038980,166038980,166039563,2,583,77
2971920,166039000,166039000,166039549,2,549,77
2971922,166039354,166039354,166043676,1,4322,42
2972063,166039367,166039367,166043690,1,4322,40
2972103,166039505,166039505,166039887,2,381,78
